name;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g
Kacang urei;3.30 g;354.0;12.8;69.3;1.8;0.0;1.0;26.1
Ganyong;Tidak Diketahui;0.90 g;77.0;0.6;18.4;0.2;0.0;0.0
Keju;5.30 g;326.0;22.8;13.1;20.3;0.0;1410.0;0.0
Bebek (itik); segar;Tidak Diketahui;1.10 g;321.0;16.0;0.0;28.6;0.0
Sagu Lemak (Kue Sagon);0.70 g;452.0;2.8;76.8;14.8;0.0;182.0;1.1
Buah kelenting;Tidak Diketahui;1.20 g;110.0;1.4;21.4;2.1;0.0;2.0
Masekat;0.80 g;369.0;2.1;74.1;7.0;0.0;141.0;4.0
Bakpia;Tidak Diketahui;1.60 g;272.0;8.7;44.1;6.7;0.0;0.0
Coklat susu batang;1.40 g;565.0;9.0;53.6;35.0;0.0;100.0;3.4
Es teh manis;0.02 g;90.0;0.02;23.44;0.0;0.0;0.0;0.0
Cap cai / capcay / cap cay;Tidak Diketahui;1 g;97.0;5.8;4.2;6.3;0.0;405.0
Keju cheddar;22.87 g;404.0;22.87;3.09;33.31;0.0;0.0;0.0
Sawo kecik;1.40 g;111.0;0.9;21.6;2.3;0.0;28.0;1.0
Keju kraft cheddar;4 g;70.0;4.0;2.0;5.0;0.0;0.0;0.0
Starbucks hot caffe mocha (notfat milk);13 g;250.0;13.0;42.0;2.5;0.0;0.0;0.0
Koya;0.80 g;366.0;4.2;77.5;4.3;0.0;0.0;0.8
Mi golosor;0.20 g;71.0;0.2;15.9;0.8;0.0;0.0;0.1
Good day cappuccino;1 g;170.0;1.0;32.0;3.5;25.0;0.0;1.0
Susu asam untuk bayi;Tidak Diketahui;4 g;418.0;19.0;65.5;9.0;0.0;188.0
Kacang bogor kering;3 g;370.0;16.0;65.0;6.0;0.0;44.0;26.3
Khong guan malkist seaweed;1 g;90.0;1.0;12.0;3.5;2.0;0.0;0.0
Cantel / sorgum;Tidak Diketahui;1.70 g;366.0;11.0;73.0;3.3;0.0;7.0
Daun bluntas;Tidak Diketahui;2.30 g;44.0;1.8;9.4;0.5;0.0;0.0
Margarine;2.50 g;720.0;0.6;0.4;81.0;0.0;760.0;0.0
Pocari sweat;0 g;70.0;0.0;17.0;0.0;16.0;0.0;0.0
Starbucks iced caffe latte (wholemilk);8 g;120.0;8.0;13.0;7.0;0.0;0.0;0.0
Susu kental manis;1.80 g;343.0;8.2;55.0;10.0;0.0;150.0;0.0
Royco sup krim ayam;2 g;50.0;2.0;9.0;1.0;2.0;710.0;0.0
Keong;Tidak Diketahui;4 g;64.0;12.0;2.0;1.0;0.0;231.0
Daging Ayam ;Tidak Diketahui;0.90 g;298.0;18.2;0.0;25.0;0.0;109.0
Babi; gemuk; segar;Tidak Diketahui;1.10 g;453.0;11.9;0.0;45.0
Daun pangi;Tidak Diketahui;1.50 g;104.0;3.9;17.9;0.6;0.0;4.0
Snow skin lotus paste mooncake;1.16 g;187.0;2.12;26.36;8.04;0.0;0.0;1.16
Adem sari herbal lemon;0 g;60.0;0.0;16.0;0.0;14.0;65.0;0.0
Pucuk lumai / daun leunca;Tidak Diketahui;1.30 g;33.0;4.5;2.8;0.4;0.0;2.0
Ayam goreng church texas;Tidak Diketahui;1.30 g;295.0;34.0;1.5;16.0;0.0;771.0
Wortel rebus;0.40 g;28.0;0.7;6.3;0.5;0.0;41.0;0.8
Babi; segar;Tidak Diketahui;1.50 g;129.0;19.7;1.7;4.8;0.0
Gekikara ramen 109 gram;6 g;160.0;9.0;74.0;18.0;4.0;1200.0;6.0
Kopi Indocafe coffemix 3 in 1;1 g;90.0;1.0;17.0;2.0;13.0;0.0;0.0
Sprite 390 ml;0 g;0.0;0.0;25.0;0.0;25.0;40.0;0.0
Nutri boost orange;2 g;170.0;2.0;37.0;1.5;0.0;180.0;0.0
Ketan putih;Tidak Diketahui;0.10 g;172.0;3.0;37.5;0.5;0.0;1.0
Rempeyek kacang tanah;1.80 g;513.0;17.5;44.3;32.5;0.0;0.0;1.7
Kacang merah / banda;3.20 g;350.0;13.9;66.9;3.0;0.0;19.0;26.3
Kacang gude;Tidak Diketahui;2.30 g;114.0;7.0;20.8;0.6;0.0;4.0
Mr. Bread Roti tawar choco chips;2 g;227.0;7.0;38.5;5.0;8.0;286.0;2.0
