name;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g
Daun pakis loggiho;Tidak Diketahui;1.60 g;54.0;2.2;3.1;3.6;0.0;70.0
Supermi rasa steak ayam;4 g;140.0;7.0;54.0;15.0;6.0;590.0;4.0
Koro wedus; kering;Tidak Diketahui;3.50 g;338.0;22.2;61.0;1.5;0.0
Red Hot Cajun  (classic wings);1 g;142.0;15.0;1.0;8.0;0.0;0.0;1.0
Tony roma's the original baby back ribs;0 g;563.0;30.0;55.0;25.0;50.0;0.0;0.0
Kerupuk kemplang (ikan) mentah;5.10 g;325.0;1.8;78.5;0.4;0.0;1123.0;4.5
Rempeyek kacang uci;3.40 g;497.0;17.0;50.8;27.6;0.0;0.0;2.4
Ampas kacang hijau;0.60 g;96.0;3.7;19.1;0.6;0.0;0.0;2.7
Pronas chicken luncheon;3 g;80.0;4.0;3.0;6.0;0.0;0.0;3.0
Susu kerbau;Tidak Diketahui;0.80 g;160.0;6.3;7.1;12.0;0.0;82.0
Soto sukaraja;Tidak Diketahui;1.10 g;80.0;3.2;9.0;3.5;0.0;0.0
Chitato keripik kentang rasa sapi panggang;2 g;110.0;2.0;11.0;6.0;0.0;115.0;0.0
Manan samin;0.80 g;379.0;3.4;50.6;18.1;0.0;0.0;0.0
Pizza hut meat lover's;2 g;470.0;19.0;36.0;28.0;1.0;0.0;2.0
Bika ambon;0.60 g;199.0;2.1;44.4;1.5;0.0;0.0;0.3
Keju Lemnos Fetta Cheese;5.40 g;83.0;5.4;0.4;6.9;0.9;0.0;0.0
Krupuk Bocah Tua (mentah);1 g;340.0;1.0;84.0;0.0;0.0;1570.0;0.0
Nissin wafer coklat;2 g;50.0;2.0;20.0;6.0;8.0;70.0;0.0
Richeese Nabati;0 g;40.0;0.0;6.0;1.5;0.0;30.0;0.0
KFC extra crispy sayap;10 g;170.0;10.0;5.0;13.0;0.0;0.0;0.0
Kacang uci;3.70 g;358.0;23.4;60.6;2.4;0.0;13.0;7.4
Kecimpring singkong goreng;3.50 g;464.0;1.2;73.0;18.6;0.0;0.0;1.3
Sariroti Sandwich krim keju;1 g;130.0;3.0;17.0;6.0;3.0;260.0;1.0
Susu My protein impact whey protein;0.50 g;105.0;20.0;3.0;1.8;1.6;0.0;0.5
Ubi jalar kuning;Tidak Diketahui;1 g;119.0;0.5;25.1;0.4;0.0;3.0
Amparan;Tidak Diketahui;0.80 g;191.0;1.3;34.0;5.5;0.0;0.0
Kluwek;1.50 g;310.0;10.0;13.5;24.0;0.0;0.0;0.0
keripik Qtela singkong;0 g;100.0;0.0;14.0;5.0;1.0;0.0;0.0
Milo Activ-Go 18 gram;0 g;15.0;2.0;13.0;2.0;8.0;35.0;0.0
Indomie rasa ayam bawang;2 g;100.0;7.0;43.0;11.0;3.0;1330.0;2.0
Ketela pohon kukus;0.60 g;153.0;1.2;36.4;0.3;0.0;2.0;1.3
Indomie rasa ayam special;2 g;90.0;7.0;44.0;10.0;3.0;1180.0;2.0
Caotina;1 g;114.0;1.0;10.4;7.4;10.0;20.0;0.0
Jahe;Tidak Diketahui;1.20 g;51.0;1.5;10.1;1.0;0.0;12.0
Lamtoro biji tua;Tidak Diketahui;1.30 g;148.0;10.6;26.2;0.5;0.0;28.0
Yeo's Chrysantenum tea;0 g;90.0;0.0;22.0;0.0;22.0;0.0;0.0
Kue kelapa;1.50 g;591.0;5.6;47.5;42.1;0.0;33.0;0.0
Teajus Gula Batu;0 g;25.0;0.0;6.0;0.0;5.0;0.0;0.0
Sowa;10 g;48.0;1.6;9.1;0.6;0.0;9.0;45.0
nestle cerelac bubur sereal susu rasa ayam sayur;8 g;210.0;8.0;34.0;5.0;0.0;150.0;0.0
Nissin UFO fried ramen 100 g;100 g;190.0;8.0;62.0;21.0;6.0;1980.0;2.0
Ricola herb canndy;0 g;60.0;0.0;15.0;0.0;0.0;0.0;0.0
Jagung kuning pipil;Tidak Diketahui;0.60 g;154.0;3.8;28.4;3.5;0.0;5.0
Beras tumbuk;Tidak Diketahui;0.40 g;354.0;7.8;79.9;0.4;0.0;5.0
Mostarda metan-sawi;1.10 g;33.0;2.3;4.7;0.5;0.0;20.0;1.8
ABC Minuman Asam Jawa;0 g;140.0;0.0;34.0;0.0;0.0;0.0;0.0
Labu siam;Tidak Diketahui;0.30 g;30.0;0.6;6.7;0.1;0.0;3.0
Sirup Sunquick Orange;0 g;45.0;0.0;11.0;0.0;11.0;0.0;0.0
Kembang tahu rebus;0.80 g;90.0;10.7;4.7;4.0;0.0;0.0;0.0
Indofood Racik Bumbu Nasi Goreng;0 g;0.0;0.0;4.0;0.0;2.0;1050.0;0.0
Tahu telur;1.10 g;328.0;12.6;24.6;19.9;0.0;755.4;0.4
Tempe bongkrek;146.30 g;119.0;4.4;18.3;3.5;0.0;0.0;0.0
Royco ayam bumbu rujak;0 g;10.0;0.0;2.0;0.0;2.0;0.0;0.0
Fitbar;1 g;90.0;3.0;14.0;2.5;4.0;0.0;1.0
Tempe lamtoro var. gung tanpa kuit;1.10 g;131.0;18.0;13.0;0.8;0.0;0.0;1.3
Oishi Rasa Udang Pedas;0.50 g;12.5;1.0;8.0;1.5;1.0;95.0;0.5
Yoghurt;Tidak Diketahui;2.20 g;52.0;3.3;4.0;2.5;0.0;40.0
Ikan Kakatua;Tidak Diketahui;1.30 g;82.0;11.4;6.4;1.2;0.0;90.0
Es krim Wall's double dutch;1 g;150.0;3.0;18.0;7.0;9.0;0.0;1.0
Bamboe Tongseng;2 g;25.0;1.0;5.0;2.5;1.0;580.0;2.0
Top sirloin;21.77 g;127.0;21.77;0.01;4.45;0.0;0.0;0.0
Sambal Terasi Kokita;1 g;30.0;1.0;5.0;1.0;1.0;0.0;0.0
susu mama minuman khusus ibu hamil & menyusui rasa cokelat;9 g;190.0;9.0;26.0;5.0;0.0;115.0;0.0
Ubi jalar tinta / kemayung;1 g;108.0;0.5;25.6;0.4;0.0;1.0;4.2
Cengkeh kering;5.20 g;330.0;5.2;57.4;8.9;0.0;282.0;10.0
Kacang kedelai goreng;100.0 g;521.0;32.2;22.9;37.7;0.0;3492.0;7.6
monde boromon cookies;1 g;0.0;0.0;18.0;0.0;5.0;10.0;1.0
KFC extra crispy dada;35 g;530.0;35.0;18.0;35.0;0.0;0.0;0.0
Mi ABC cup mi ayam jamur;6 g;390.0;7.0;45.0;20.0;8.0;0.0;6.0
Permen RELAXA;0 g;10.0;0.0;2.0;0.0;2.0;0.0;0.0
Kopi Good Day Chococinno;1 g;98.0;1.0;17.0;2.0;0.0;15.0;0.0
Pop Ice Taro;0 g;15.0;0.0;22.0;1.5;19.0;40.0;0.0
Koro andong;3 g;356.0;20.5;61.6;4.1;0.0;18.0;7.0
Jeruk manis;Tidak Diketahui;0.50 g;45.0;0.9;11.2;0.2;0.0;4.0
Ayam goreng kalasan;Tidak Diketahui;2.90 g;275.0;37.4;1.3;12.2;0.0;176.0
Bamboe Lodeh;0 g;10.0;1.0;0.0;1.0;0.0;980.0;0.0
Pizza hut meat lovers;1 g;210.0;8.0;17.0;12.0;2.0;0.0;1.0
Starbucks chocolate croissant;2 g;340.0;5.0;38.0;20.0;13.0;0.0;2.0
Mie Gaga Goreng Lada Hitam;9 g;390.0;9.0;53.0;16.0;0.0;1150.0;0.0
Spaghetti;2.10 g;139.0;7.4;22.6;2.1;0.0;0.0;0.0
Eskrim walls feast vanila;1 g;140.0;2.0;15.0;8.0;13.0;0.0;1.0
Ham;5.80 g;384.0;16.9;0.3;35.0;0.0;112.0;0.0
Es krim Diamond durian;2 g;100.0;2.0;12.0;6.0;9.0;0.0;0.0
Cold Stone Creamery Oreo Overload;1 g;910.0;12.0;115.0;49.0;92.0;0.0;1.0
Kue thipan;0.40 g;247.0;2.9;49.5;4.2;0.0;95.0;0.0
Dodol manado;1.20 g;373.0;4.3;51.9;16.5;0.0;35.0;0.4
Ampas tahu kering;5.80 g;414.0;26.6;41.3;18.3;0.0;45.0;0.0
Dairy queen hot fudge sundae;1 g;430.0;9.0;66.0;15.0;52.0;0.0;1.0
Tomat; segar;Tidak Diketahui;1.30 g;20.0;1.0;3.5;0.2;0.0
Promina sliky puding rasa strawberry;1 g;110.0;1.0;19.0;3.0;11.0;12.0;0.0
Kue ali;0.40 g;440.0;3.8;64.5;18.5;0.0;0.0;0.3
Keripik gadung;2.80 g;446.0;2.8;76.0;14.5;0.0;0.0;1.7
Daun melinjo;Tidak Diketahui;1.60 g;104.0;5.0;21.3;1.3;0.0;12.0
Indofood Saos Tomat (135 ml);0 g;20.0;0.0;5.0;0.0;4.0;400.0;0.0
donat Krispy kreme glazed chocolate cake;1 g;250.0;3.0;38.0;10.0;24.0;0.0;1.0
Royco nasi goreng;0 g;15.0;0.0;2.0;0.0;2.0;0.0;0.0
Starbucks Almond croissant;3 g;420.0;10.0;45.0;22.0;13.0;0.0;3.0
Sari Wangi Teh Hitam Jahe & Kunyit;0 g;0.0;0.0;0.0;0.0;0.0;10.0;0.0
Mom Miyuki Go Roa Keripik Pisang Goroho (Roa Pedas);1 g;180.0;1.0;24.0;8.0;14.0;50.0;0.0
Emping beras;1.90 g;403.0;10.6;85.3;2.2;0.0;1.0;0.2
Tahu goreng;2 g;115.0;9.7;2.5;8.5;0.0;7.0;0.1
Kopi Kapal api grande white coffe;1 g;90.0;1.0;17.0;2.0;12.0;0.0;1.0
Kabuto;0.60 g;250.0;2.6;35.4;2.5;0.0;2.0;1.8
Bayam; segar;Tidak Diketahui;1.30 g;16.0;0.9;2.9;0.4;0.0
Nissin Gekikara Ramen Rasa Carbonara Pedas;7 g;350.0;7.0;53.0;12.0;0.0;1170.0;0.0
Es krim Diamond kacang hijau;4 g;220.0;4.0;12.0;11.0;8.0;0.0;0.0
Outback steackhouse T-Bone;79 g;910.0;79.0;4.0;64.0;0.0;0.0;0.0
Cheesecake Factory Hot fudge sundae;6 g;1310.0;20.0;116.0;86.0;94.0;0.0;6.0
Sarimuka;0.50 g;166.0;2.3;32.9;2.8;0.0;3.0;0.0
Kopiko coffe candy;0 g;40.0;0.0;8.0;1.0;6.0;0.0;0.0
You C1000 vitamin orange;0 g;80.0;0.0;20.0;0.0;20.0;0.0;0.0
Pizza hut deluxe cheese;3 g;380.0;16.0;37.0;19.0;1.0;0.0;3.0
Tepung Jalejo;2.30 g;347.0;19.0;61.2;7.5;0.0;3.0;5.8
Kacang arab;Tidak Diketahui;3 g;330.0;23.8;60.2;1.4;0.0;24.0
yummy bites banana flavor;2 g;190.0;2.0;44.0;0.0;4.0;130.0;0.0
Oramu ninahu ndawa olaho;Tidak Diketahui;0.10 g;117.0;13.7;4.3;5.0;0.0;0.0
Ayam goreng church texas;Tidak Diketahui;1.30 g;287.0;31.0;1.7;15.7;0.0;723.0
Brem;0.90 g;249.0;3.4;58.0;0.4;0.0;0.0;0.0
Kopiko 78'C coffe latte;4 g;160.0;4.0;28.0;3.0;24.0;0.0;0.0
Sayur ndusuk;3.10 g;49.0;3.1;3.6;2.5;0.0;1011.0;0.0
Hershey's Spreads;1 g;190.0;3.0;20.0;12.0;19.0;50.0;1.0
Gery Saluut Malkist Double Abon;1 g;90.0;1.0;15.0;2.5;3.0;930.0;0.0
Suweg kukus;1 g;93.0;1.5;21.9;0.1;0.0;6.0;0.9
Kentang hitam;Tidak Diketahui;1 g;142.0;0.9;33.7;0.4;0.0;22.0
Cangkuning;0.80 g;204.0;2.8;31.4;7.5;0.0;0.0;0.0
Daun Tespong;Tidak Diketahui;1.90 g;70.0;2.9;13.9;0.3;0.0;72.0
Doritos barbeque;2 g;100.0;2.0;13.0;4.5;1.0;0.0;0.0
Pelolah manuk;Tidak Diketahui;2.30 g;219.0;19.7;4.4;13.6;0.0;577.0
Kopi bubuk instan;9.70 g;129.0;12.3;35.0;0.5;0.0;72.0;0.0
Beras jagung putih; mentah;Tidak Diketahui;0.80 g;307.0;4.8;71.8;0.1;0.0
Telur bebek bagian putih;Tidak Diketahui;0.20 g;54.0;11.0;0.8;0.0;0.0;184.0
Makaroni;Tidak Diketahui;2.50 g;353.0;8.7;78.7;0.4;0.0;5.0
Buavita Orange;0.50 g;120.0;0.0;28.0;0.0;23.0;0.0;0.5
Sop buntut;Tidak Diketahui;0.60 g;71.0;7.5;2.2;3.6;0.0;490.0
Kacang hijau;Tidak Diketahui;3.30 g;323.0;22.9;56.8;1.5;0.0;42.0
Mi sedaap cup mi goreng;7 g;390.0;6.0;52.0;18.0;5.0;0.0;7.0
Outback steackhouse new york strip;63 g;810.0;63.0;0.0;62.0;0.0;0.0;0.0
Permen Xylitol Blueberry Mint;0 g;10.0;0.0;2.0;0.0;0.0;0.0;0.0
Kacang kincai;Tidak Diketahui;4.90 g;444.0;19.9;55.0;16.0;0.0;0.0
Susu WRP Lose weight stroberi;2 g;220.0;14.0;25.0;6.0;21.0;0.0;2.0
Daun kasbi/singkong karet;Tidak Diketahui;1.20 g;92.0;4.0;10.9;3.6;0.0;70.0
Kacang marah tua;6.20 g;280.0;16.7;63.2;1.6;0.0;19.0;4.6
Nissin Gekikara Ramen rasa Ayam Pedas;7 g;360.0;7.0;52.0;14.0;0.0;1030.0;0.0
Widaran;0.30 g;424.0;1.3;80.7;10.7;0.0;0.0;0.2
Mr. Bread Roti tawar;2.50 g;198.0;7.0;36.0;3.0;2.5;269.0;2.5
Indomie mi goreng aceh;6 g;170.0;9.0;55.0;19.0;6.0;790.0;6.0
Ichitan Thailand Milk Tea;3 g;50.0;3.0;36.0;6.0;25.0;160.0;0.0
Top coffee Gula Aren;1 g;20.0;1.0;18.0;2.5;14.0;35.0;0.0
Sayur umbut kelapa;1.30 g;67.0;5.2;5.1;2.9;0.0;313.0;1.4
Maggi Magic Lezat Bumbu Penyedap;1 g;5.0;1.0;1.0;0.0;0.0;970.0;0.0
Good Time Cookies;1 g;50.0;2.0;21.0;6.0;10.0;220.0;1.0
Beras parboiled;2.50 g;353.0;6.8;80.0;0.6;0.0;2.0;0.5
Nangka masak pohon;Tidak Diketahui;2.70 g;106.0;1.2;27.6;0.3;0.0;2.0
Cucuru bayau;Tidak Diketahui;1.20 g;349.0;6.8;38.3;18.7;0.0;0.0
Kalio otak;Tidak Diketahui;1.40 g;157.0;8.1;11.4;8.8;0.0;604.0
Heavenly blush greek yogurt;3 g;170.0;6.0;16.0;9.0;9.0;0.0;3.0
Biskuit meiji Hello panda;1 g;230.0;3.0;30.0;10.0;12.0;0.0;1.0
Telur bebek bagian kuning;Tidak Diketahui;0.20 g;386.0;17.0;0.8;35.0;0.0;106.0
Prosana Proffle Biskuit Waffle Tinggi Protein;0 g;20.0;5.0;12.0;2.0;2.0;65.0;0.0
donat Krispy kreme original glazed;1 g;190.0;3.0;21.0;11.0;10.0;0.0;1.0
Pisang tujuh bulan;0.80 g;94.0;0.6;22.5;0.2;0.0;0.0;3.7
Nutrisari Jeju orange;0 g;60.0;0.0;14.0;0.0;11.0;0.0;0.0
Biskuit;1.40 g;458.0;6.9;75.1;14.4;0.0;241.0;2.1
Mie Sagu;0.10 g;190.0;0.2;46.5;0.4;0.0;10.0;1.4
Tempe gembus P3G;0.80 g;73.0;5.7;10.3;1.3;0.0;0.0;4.2
ABC Sari Kacang Hijau;2 g;160.0;2.0;36.0;0.0;0.0;0.0;0.0
Kue putu cangkir;0.20 g;304.0;5.3;54.9;7.0;0.0;0.0;0.9
Indofood Sambal Pedas Dahsyat (135 ml);0 g;25.0;0.0;5.0;0.0;4.0;270.0;0.0
Daun jonghe;Tidak Diketahui;1.40 g;27.0;2.1;4.4;0.7;0.0;0.0
Gatot;1.40 g;347.0;1.3;83.8;0.7;0.0;28.0;5.8
Sosis Kanzler German Bratwurst;0 g;150.0;0.0;0.0;12.0;0.0;435.0;0.0
Teh botol sosro less sugar;0 g;90.0;0.0;22.0;0.0;22.0;0.0;0.0
Cassavastick;2.70 g;460.0;0.8;17.2;18.7;0.0;0.0;1.6
Sate; masakan;Tidak Diketahui;3.30 g;179.0;22.5;13.3;3.5;0.0
Chitato Maxx Spicy Mexican Chili Flavor;1 g;50.0;1.0;12.0;6.0;1.0;90.0;0.0
Nasi / Nasi Putih;0.20 g;180.0;3.0;39.8;0.3;0.0;1.0;0.2
Jampang huma;Tidak Diketahui;2.50 g;350.0;6.3;78.2;1.4;0.0;53.0
Better Sandwich Biscuit;1 g;60.0;2.0;18.0;7.0;9.0;75.0;1.0
Starbucks cappuccino (nonfat milk);8 g;80.0;8.0;12.0;0.0;0.0;0.0;0.0
Coca cola zero sugar;0 g;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Umbi Uwi;Tidak Diketahui;0.90 g;120.0;2.8;82.3;0.5;0.0;12.0
Tempe gembus yogya;1.10 g;76.0;6.8;10.6;0.7;0.0;0.0;5.3
Oreo dutch Cocoa wafer;2 g;50.0;1.0;17.0;6.0;9.0;50.0;2.0
Starbucks hot caffe mocha (whole milk);13 g;330.0;13.0;42.0;12.0;0.0;0.0;0.0
Yogurt greek heavenly blush strawberrt;4 g;170.0;5.0;18.0;9.0;10.0;45.0;4.0
Monde Boromon Wafers rasa Strawberry susu;2 g;60.0;1.0;17.0;6.0;7.0;35.0;2.0
Ceriping getuk singkong;3.20 g;462.0;1.2;67.7;20.7;0.0;0.0;0.6
Matoa;Tidak Diketahui;1.10 g;90.0;1.2;21.1;0.1;0.0;10.0
Bayam kukus;1.60 g;30.0;1.3;5.8;0.7;0.0;15.0;1.2
Telur bebek albino;Tidak Diketahui;1 g;187.0;11.8;3.0;14.2;0.0;115.0
Mie pangsit basah;0.70 g;105.0;5.9;9.4;4.9;0.0;530.0;0.0
Frisian flag california strawberry low fat;7 g;150.0;7.0;24.0;2.5;22.0;125.0;0.0
HILO PLATINUM Swiss Chocolate Flavour;8 g;130.0;8.0;21.0;2.0;0.0;150.0;0.0
Ikan Hiu kering;6.80 g;298.0;46.3;20.2;3.6;0.0;957.0;0.0
Frisian flag gold (kental manis);3 g;130.0;3.0;22.0;3.5;21.0;0.0;0.0
Gandaria masak;Tidak Diketahui;0.40 g;68.0;0.7;18.0;0.1;0.0;3.0
Teh Kotak Rasa Blackcurrant;0 g;100.0;0.0;24.0;0.0;21.0;50.0;0.0
Oishi Snack Sponge Crunch Chocolate;0 g;45.0;1.0;11.0;5.0;5.0;20.0;0.0
KFC extra crispy paha atas;22 g;330.0;22.0;9.0;23.0;0.0;0.0;0.0
Butter cookies Monde;2 g;70.0;2.0;20.0;8.0;7.0;0.0;0.0
Es krim Wall's oreo cookies cream;1 g;140.0;2.0;17.0;7.0;11.0;0.0;1.0
Naan maran sapi;Tidak Diketahui;7.90 g;478.0;38.3;5.1;33.9;0.0;220.0
Nissin Walens Chocosoes;2 g;80.0;2.0;14.0;8.0;8.0;65.0;0.0
East Bali Cashews Granola With Rosella Cinnamon;2.50 g;126.0;2.5;18.5;4.0;5.0;118.5;2.5
Jasjus Rasa Anggur;0 g;25.0;0.0;6.0;0.0;5.0;15.0;0.0
Beras jagung kuning kering;Tidak Diketahui;0.90 g;358.0;5.5;82.7;0.1;0.0;1.0
Indomie kari ayam;2 g;320.0;7.0;46.0;12.0;4.0;0.0;2.0
Ikan Hiu;Tidak Diketahui;1.10 g;57.0;10.7;2.2;0.3;0.0;0.0
Bebek albino; segar;Tidak Diketahui;1 g;303.0;11.3;3.7;27.0;0.0
Jagung pipil var; mentah;Tidak Diketahui;1.20 g;367.0;6.2;76.2;5.1;0.0
Starbucks Iced caffe mocha (notfat milk);9 g;200.0;9.0;36.0;2.5;0.0;0.0;0.0
Gadeng / Gadung kering;0.20 g;322.0;2.4;76.6;0.6;0.0;5.0;0.0
Sirup pirous;0.20 g;228.0;0.2;55.9;0.4;0.0;3.0;0.0
You C1000 vitamin apple;0 g;60.0;0.0;14.0;0.0;14.0;0.0;0.0
Susu sapi;Tidak Diketahui;0.70 g;61.0;3.2;4.3;3.5;0.0;36.0
Roti gandum;4 g;267.0;10.72;48.68;3.24;5.91;508.0;4.0
Ikan Mujahir / Mujair pepes;1 g;121.0;21.7;0.8;2.8;0.0;58.0;0.0
Lilin bungkus gedi;1.90 g;79.0;2.3;5.8;5.2;0.0;170.0;2.5
Mie celon;1.20 g;102.0;3.0;17.8;2.1;0.0;451.0;0.0
Beef burger;2.20 g;258.0;10.6;32.5;9.5;0.0;572.0;0.4
Kelapa Muda ; segar;Tidak Diketahui;0.80 g;68.0;1.0;14.0;0.9;0.0
Walens choco soes;2 g;140.0;2.0;14.0;8.0;0.0;0.0;0.0
Kapurung;0.60 g;41.0;2.0;7.8;0.3;0.0;185.0;2.0
Daun kesum;Tidak Diketahui;0.80 g;48.0;4.5;9.1;0.8;0.0;11.0
Ketela pohon / singkong;Tidak Diketahui;0.50 g;154.0;1.0;36.8;0.3;0.0;2.0
Teh melati daun kering;5.30 g;299.0;24.1;59.0;3.5;0.0;70.0;9.7
Tony roma's potato skin;0 g;751.0;35.0;41.0;51.0;2.0;0.0;0.0
Yogurt mixed berry;4 g;140.0;4.0;22.0;4.0;0.0;30.0;4.0
Susu Bear brand gold malt putih;4 g;120.0;4.0;19.0;1.5;0.0;0.0;0.0
Pisang goroho;Tidak Diketahui;1 g;119.0;1.5;27.9;0.2;0.0;36.0
brokoli ;Tidak Diketahui;90.50 g;23.2;3.2;1.9;0.2;0.0;15.0
Keripik oncom;2.20 g;598.0;8.3;42.6;43.8;0.0;0.0;3.3
Tepung terigu;1 g;333.0;9.0;77.2;1.0;0.0;2.0;0.3
Kelapa muda; segar;Tidak Diketahui;0.40 g;17.0;0.2;3.8;0.1;0.0
Richeese Nabati Wafer Krim Keju;0 g;40.0;0.0;6.0;1.5;0.0;30.0;0.0
Dairy queen Vanilla cone;0 g;330.0;9.0;52.0;9.0;36.0;0.0;0.0
Kacang gude rebus;1.50 g;147.0;9.0;27.5;0.5;0.0;14.0;3.4
Carman's bircher muesli;7.90 g;421.0;14.7;48.1;17.1;16.0;0.0;7.9
Ikan Pomo;Tidak Diketahui;1.40 g;147.0;22.5;2.6;5.2;0.0;0.0
Taoge;Tidak Diketahui;0.40 g;34.0;3.7;4.3;1.2;0.0;19.0
Nutrisari jus jambu;0 g;60.0;0.0;13.0;1.5;12.0;0.0;0.0
Ultra milk low fat source of calcium;7 g;90.0;7.0;11.0;2.5;0.0;105.0;0.0
Piattos Sambal Terasi Flavor;2 g;45.0;1.0;13.0;5.0;1.0;140.0;2.0
Bengkuang;Tidak Diketahui;0.50 g;59.0;1.4;12.8;0.2;0.0;2.0
Umbut kelapa;Tidak Diketahui;1.30 g;39.0;2.0;7.2;0.2;0.0;4.0
Sarimi Gelas Rasa Kari Ayam;2 g;70.0;8.0;16.0;8.0;1.0;1110.0;2.0
Martabak india;1.20 g;153.0;4.5;24.3;4.2;0.0;240.0;0.0
Wajit camilan;0.60 g;303.0;6.3;63.3;2.7;0.0;0.0;6.9
Taro net;2 g;80.0;2.0;15.0;2.0;0.0;0.0;0.0
Sayur umbut rotan;1.30 g;57.0;5.4;3.1;2.6;0.0;256.0;1.6
Kakicak;0.90 g;296.0;3.4;36.7;15.1;0.0;0.0;0.0
Yoforia Berry smooth;4 g;130.0;4.0;24.0;2.0;20.0;0.0;0.0
Nissin Butter Coconut Biscuits;2 g;100.0;1.0;14.0;5.0;4.0;55.0;2.0
Herslim;2 g;10.0;13.0;13.0;1.5;2.0;120.0;2.0
Indomie rasa kaldu ayam;4 g;110.0;6.0;50.0;12.0;0.0;980.0;4.0
Papeda;0.10 g;61.0;0.2;14.9;0.1;0.0;4.0;0.5
Daun oyong;Tidak Diketahui;0.60 g;22.0;1.0;5.3;0.1;0.0;40.0
The coffe bean & tea leaf pure chocolate ice blended drink;15 g;390.0;15.0;72.0;7.0;59.0;0.0;0.0
wrp everyday susu bubuk rasa choco hazelnut;5 g;110.0;5.0;21.0;1.0;0.0;35.0;0.0
Ichi ocha;0 g;0.0;0.0;26.0;0.0;24.0;35.0;0.0
MR. P Honey Peanuts;7 g;150.0;7.0;5.0;12.0;3.0;0.0;0.0
Suwir-suwir;1 g;347.0;0.5;84.2;0.9;0.0;0.0;0.8
Daun labu siam;Tidak Diketahui;1.20 g;34.0;4.0;4.7;0.4;0.0;16.0
Uceng / bunga melinjo;Tidak Diketahui;1.70 g;82.0;5.8;11.7;1.3;0.0;0.0
Golden Farm mixed vegetable;3 g;70.0;3.0;14.0;1.0;4.0;0.0;0.0
Kue pelita;0.60 g;141.0;5.3;17.6;5.5;0.0;0.0;0.0
Dairy queen chocolate dipped cone;1 g;460.0;9.0;59.0;22.0;43.0;0.0;1.0
Jeruk banjar;Tidak Diketahui;0.40 g;61.0;0.8;14.1;0.2;0.0;3.0
Daun labu wuluh/kuning;Tidak Diketahui;1.60 g;34.0;3.6;4.5;0.6;0.0;16.0
Ikan Mayong;Tidak Diketahui;1.50 g;97.0;17.9;0.4;2.0;0.0;0.0
Ikan Tarmon;Tidak Diketahui;0.80 g;96.0;19.5;2.0;1.1;0.0;43.0
Soto jeroan;Tidak Diketahui;1.10 g;92.0;11.8;1.4;4.3;0.0;363.0
Tedong pallu basa;Tidak Diketahui;1.70 g;83.0;10.4;2.8;3.4;0.0;397.0
Tepung Ganyong;0.30 g;353.0;0.8;83.6;1.7;0.0;3.0;0.7
Umbut rotan;1.30 g;34.0;2.4;5.5;0.3;0.0;8.0;2.2
Beras ladang;Tidak Diketahui;0.90 g;376.0;7.5;78.0;3.8;0.0;10.0
Yogurt frozen pinkberry (Kecil);0 g;150.0;6.0;31.0;0.0;30.0;0.0;0.0
Golden Farm corn kernel;3 g;70.0;3.0;14.0;1.0;3.0;0.0;0.0
Pempek telur;Tidak Diketahui;1.90 g;156.0;4.7;28.3;2.7;0.0;448.0
Nutrisari Florida orange;0 g;50.0;0.0;13.0;0.0;11.0;0.0;0.0
NutriBoost rasa kopi;3 g;30.0;3.0;19.0;3.0;14.0;100.0;0.0
Ultra Sari Kacang Ijo;2 g;90.0;2.0;22.0;0.0;0.0;0.0;0.0
Quinoa;4.40 g;120.0;4.4;21.3;1.92;0.0;0.0;0.0
Kacang tolo rebus;1.20 g;138.0;10.7;22.6;1.1;0.0;13.0;0.9
Lamtoro biji muda;Tidak Diketahui;1.20 g;85.0;5.7;15.4;0.3;0.0;35.0
Roma Malkist;2 g;120.0;2.0;19.0;4.5;3.0;0.0;0.0
Tahu Bakso;2.40 g;231.0;11.8;21.4;12.2;1.2;378.0;2.4
Sonice Bakso kuah sapi;8 g;160.0;8.0;20.0;5.0;0.0;0.0;0.0
Ayam goreng church texas;Tidak Diketahui;1.50 g;338.0;35.2;0.4;20.6;0.0;800.0
Saladstop tingtong;13.50 g;843.4;30.6;83.3;46.2;14.5;1004.6;13.5
Takwa;1.60 g;148.0;13.8;4.0;8.5;0.0;3.0;0.0
Monde Boromon cookies original flavor;0 g;80.0;0.0;18.0;0.0;0.0;10.0;0.0
Keju Lemnos Grated Parmesan;0 g;38.0;3.3;1.0;5.6;1.0;0.0;0.0
Good Day Mocacinno;1 g;20.0;1.0;16.0;2.0;13.0;10.0;1.0
kacang garuda roste kacang panggang;5 g;130.0;5.0;16.0;5.0;0.0;115.0;0.0
Tepung Tales Banten;5.50 g;332.0;5.7;76.1;0.6;0.0;7.0;12.2
Coklat Toblerone;1 g;130.0;1.0;15.0;7.0;15.0;0.0;0.0
Es Krim Walls Cappuccino;1 g;70.0;1.0;19.0;8.0;10.0;15.0;1.0
Cashew;3.30 g;553.0;18.22;30.19;43.85;0.0;0.0;3.3
Kucai muda (lokio);Tidak Diketahui;1.80 g;42.0;3.8;7.8;0.6;0.0;22.0
Susu kuda;Tidak Diketahui;0.40 g;40.0;2.0;5.4;1.1;0.0;0.0
